Property Name ,Interval Identifier ,Property ID ,Country Name ,Primary Commodity ,Reported Date (mm/dd/yyyy),Reporting Company ,Reporting Company ID ,Primary Interval Commodity ,Hole ID ,Stage (At Time of Ann.) ,Significant Interval? Yes/No,Surface or Underground? ,Exploration Purpose ,Interval Value (m-$/tonne) (Reported-meter/t),Exchg,From (Date -1),To (Date + 20),Market Cap Range,"Market Cap ($M) (From, date -1)","Market Cap ($M) (To, date + 20)",Gain,Rank,Relevant asterisk/ footnote,New Rank,Notes
Ayawilca,913715,49885,Peru,Zinc,6/8/2017,Tinka Resources Limited,4354881,Zinc,A17-063,Reserves Development,Yes,Surface,Extension,"22,230.82",TK-TVX,0.437,0.46,>10 - 100,91.21,95.9,5.10%,207,,,
Tijirit,876446,29012,Mauritania,Gold,4/6/2017,Algold Resources Limited,4361599,Gold,T17RC031,Reserves Development,Yes,Surface,Extension,"1,726.26",ALG-TVX,0.183,0.192,>10 - 100,30.16,31.66,5.00%,210,,,
Gum Creek,936591,26192,Australia,Gold,6/28/2017,Horizon Gold Limited,4837944,Gold,HRC540,Feasibility Started,No,Surface,Extension,846.208,HRN-ASX,0.235,0.23,<10,8.82,8.62,-2.30%,388,,,
Golden Summit,936713,24433,USA,Gold,6/27/2017,Freegold Ventures Limited,4350276,Gold,GSDL 17-16,Prefeas/Scoping,Yes,Surface,Extension,"3,328.15",FVL-TSX,0.11,0.115,>10 - 100,15.89,16.63,4.70%,212,,,
Martiniere,937807,30724,Canada,Gold,6/27/2017,Balmoral Resources Ltd.,4348424,Gold,MDE-17-78,Target Outline,Yes,Surface,Extension,"1,911.83",BAR-TSX,0.506,0.53,>10 - 100,63.5,66.48,4.70%,213,,,
Plutonic Dome,938583,37973,Australia,Gold,6/29/2017,Vango Mining Limited,4353071,Gold,VTRDD0003A,Construction Started,No,Surface,Extension,"1,960.12",VAN-ASX,0.049,0.048,>10 - 100,19.58,19.14,-2.30%,390,,,
Yandal,913885,34262,Australia,Gold,6/13/2017,Echo Resources Limited,4349883,Gold,EWAC0121,Feasibility Complete,Yes,Surface,Extension,"2,829.72",EAR-ASX,0.098,0.096,>10 - 100,36.27,35.42,-2.30%,391,,,
Giro,907999,50785,Dem. Rep. Congo,Gold,5/26/2017,Amani Gold Limited,4348798,Gold,GRDD025,Target Outline,No,Surface,Infill,"6,397.34",ANL-ASX,0.028,0.03,>10 - 100,35.66,37.2,4.30%,220,,,
Thalanga,938586,25699,Australia,Zinc,6/29/2017,Red River Resources Limited,4353695,Zinc,TH723,Preproduction,No,Surface,Infill,"3,683.69",RVR-ASX,0.168,0.175,>10 - 100,79.17,82.51,4.20%,223,,,
Back Forty,913389,33931,USA,Gold,6/7/2017,Aquila Resources Inc.,4348108,Zinc,LK-17-523,Feasibility Started,Yes,Underground,Extension,"15,292.07",AQA-TSX,0.182,0.19,>10 - 100,49.4,51.53,4.20%,224,,,
Karankasso,877516,49877,Burkina Faso,Gold,4/10/2017,Savary Gold Corp.,4365625,Gold,HE-RC-17-057,Reserves Development,Yes,Surface,Extension,"1,684.80",SCA-TVX,0.06,0.062,>10 - 100,10.85,11.29,4.10%,226,,,
Antofalla,894918,59042,Argentina,Silver,5/2/2017,0694758 B.C. Ltd.,4350560,Silver,C-1,Target Outline,No,Surface,Exploration,831.65,GRG-TVX,0.476,0.495,>10 - 100,46.48,48.33,4.00%,227,,,
Finniss,897127,77623,Australia,Lithium,5/9/2017,Core Exploration Limited,4349515,Lithium,FRC003,Target Outline,Yes,Surface,Exploration,"5,662.00",CXO-ASX,0.052,0.054,>10 - 100,19.64,20.35,3.60%,229,,,
Isabel,890954,38033,Solomon Islands,Nickel,4/27/2017,Axiom Mining Limited,4348372,Scandium,SJ-074,Prefeas/Scoping,Yes,Surface,Exploration,"6,675.41",AVQ-ASX,0.09,0.093,>10 - 100,31.12,32.37,3.50%,231,,,
San Acacio,913730,29018,Mexico,Silver,6/8/2017,Defiance Silver Corporation,4349677,Silver,SAD17-12,Reserves Development,Yes,Surface,Extension,"3,274.41",DEF-TVX,0.219,0.226,>10 - 100,20.18,20.87,3.40%,234,,,
Val-d’Or East,912279,26273,Canada,Gold,6/6/2017,Probe Metals Inc.,4582557,Gold,PC-17-136,Reserves Development,Yes,Surface,Extension,"4,631.72",PRB-TVX,1.015,1.05,>10 - 100,94.74,98.17,3.40%,235,,,
Nyanzaga,900288,30455,Tanzania,Gold,5/11/2017,OreCorp Limited,4365968,Gold,NYZRC0617,Feasibility Started,No,Surface,Infill,"10,274.63",ORR-ASX,0.296,0.305,>10 - 100,64.01,66.07,3.20%,236,,,
Owendale,938756,29478,Australia,Scandium,6/26/2017,Platina Resources Limited,4353375,Scandium,FKD17_519,Feasibility Started,Yes,Surface,Infill,"75,356.09",PGM-ASX,0.072,0.074,>10 - 100,18.99,19.6,3.20%,238,,,
Las Chispas,924194,77989,Mexico,Silver,6/22/2017,SilverCrest Metals Inc.,4677325,Gold,UB17-09,Target Outline,Yes,Underground,Extension,"2,190.27",SIL-TVX,1.316,1.357,>10 - 100,63.39,65.35,3.10%,239,,,
Lac Herbin,905629,26085,Canada,Gold,5/23/2017,QMX Gold Corporation,4353594,Gold,17319-17-005,Operating,Yes,Surface,Extension,"1,393.70",QMX-TVX,0.166,0.171,>10 - 100,23.49,24.19,3.00%,242,,,
